             #Energy(eV)             XX(W/K/m/s)             YY(W/K/m/s)             ZZ(W/K/m/s)        Average(W/K/m/s)
     -0.946946946947E+00      0.732435545016E+15      0.719980499390E+15      0.707909238834E+15      0.720108427747E+15
     -0.942942942943E+00      0.722480176252E+15      0.710686196703E+15      0.699289568985E+15      0.710818647314E+15
     -0.938938938939E+00      0.712369586487E+15      0.701224525047E+15      0.690451535182E+15      0.701348548906E+15
     -0.934934934935E+00      0.702108200136E+15      0.691599470326E+15      0.681410157854E+15      0.691705942772E+15
     -0.930930930931E+00      0.691701212597E+15      0.681814957828E+15      0.672179759733E+15      0.681898643386E+15
     -0.926926926927E+00      0.681155294817E+15      0.671875562182E+15      0.662773616885E+15      0.671934824628E+15
     -0.922922922923E+00      0.670479205145E+15      0.661787184598E+15      0.653204177516E+15      0.661823522420E+15
     -0.918918918919E+00      0.659684051700E+15      0.651557481889E+15      0.643483568430E+15      0.651575034006E+15
     -0.914914914915E+00      0.648783032262E+15      0.641195900905E+15      0.633624059247E+15      0.641200997471E+15
     -0.910910910911E+00      0.637790620654E+15      0.630713283469E+15      0.623638205103E+15      0.630714036409E+15
     -0.906906906907E+00      0.626721334809E+15      0.620121132701E+15      0.613538521855E+15      0.620126996455E+15
     -0.902902902903E+00      0.615588365430E+15      0.609430736336E+15      0.603336724294E+15      0.609451942020E+15
     -0.898898898899E+00      0.604402417020E+15      0.598652392616E+15      0.593042726090E+15      0.598699178575E+15
     -0.894894894895E+00      0.593171082179E+15      0.587794958981E+15      0.582663710326E+15      0.587876583828E+15
     -0.890890890891E+00      0.581898934107E+15      0.576865845847E+15      0.572203597254E+15      0.576989459069E+15
     -0.886886886887E+00      0.570588318441E+15      0.565871436393E+15      0.561663153335E+15      0.566040969390E+15
     -0.882882882883E+00      0.559240620976E+15      0.554817776999E+15      0.551040825068E+15      0.555033074348E+15
     -0.878878878879E+00      0.547857655613E+15      0.543711302380E+15      0.540334189064E+15      0.543967715686E+15
     -0.874874874875E+00      0.536442805549E+15      0.532559365595E+15      0.529541742596E+15      0.532847971247E+15
     -0.870870870871E+00      0.525001661901E+15      0.521370432707E+15      0.518664664070E+15      0.521678919559E+15
     -0.866866866867E+00      0.513542089660E+15      0.510153936500E+15      0.507708174440E+15      0.510468066867E+15
     -0.862862862863E+00      0.502073835099E+15      0.498919906966E+15      0.496682222699E+15      0.499225321588E+15
     -0.858858858859E+00      0.490607901487E+15      0.487678559007E+15      0.485601370904E+15      0.487962610466E+15
     -0.854854854855E+00      0.479155928304E+15      0.476440000049E+15      0.474483923845E+15      0.476693284066E+15
     -0.850850850851E+00      0.467729727853E+15      0.465214138360E+15      0.463350494014E+15      0.465431453409E+15
     -0.846846846847E+00      0.456341012654E+15      0.454010768154E+15      0.452222284479E+15      0.454191355096E+15
     -0.842842842843E+00      0.445001245844E+15      0.442839726458E+15      0.441119397947E+15      0.442986790083E+15
     -0.838838838839E+00      0.433721504469E+15      0.431710989350E+15      0.430059443452E+15      0.431830645757E+15
     -0.834834834835E+00      0.422512268634E+15      0.420634606363E+15      0.419056629169E+15      0.420734501389E+15
     -0.830830830831E+00      0.411383115225E+15      0.409620442745E+15      0.408121423718E+15      0.409708327229E+15
     -0.826826826827E+00      0.400342366484E+15      0.398677778839E+15      0.397260762875E+15      0.398760302733E+15
     -0.822822822823E+00      0.389396789042E+15      0.387814874499E+15      0.386478693352E+15      0.387896785631E+15
     -0.818818818819E+00      0.378551442491E+15      0.377038625900E+15      0.375777292434E+15      0.377122453609E+15
     -0.814814814815E+00      0.367809741981E+15      0.366354419705E+15      0.365157685598E+15      0.366440615762E+15
     -0.810810810811E+00      0.357173743785E+15      0.355766236492E+15      0.354620999775E+15      0.355853660018E+15
     -0.806806806807E+00      0.346644607774E+15      0.345276990487E+15      0.344169128332E+15      0.345363575531E+15
     -0.802802802803E+00      0.336223153267E+15      0.334889035808E+15      0.333805233574E+15      0.334972474216E+15
     -0.798798798799E+00      0.325910413283E+15      0.324604735445E+15      0.323533962934E+15      0.324683037221E+15
     -0.794794794795E+00      0.315708105552E+15      0.314426984287E+15      0.313361398869E+15      0.314498829569E+15
     -0.790790790791E+00      0.305618968311E+15      0.304359599059E+15      0.303294796241E+15      0.304424454537E+15
     -0.786786786787E+00      0.295646942765E+15      0.294407526062E+15      0.293342183527E+15      0.294465550785E+15
     -0.782782782783E+00      0.285797210578E+15      0.284576858638E+15      0.283511914634E+15      0.284628661283E+15
     -0.778778778779E+00      0.276076107245E+15      0.274874688575E+15      0.273812255019E+15      0.274921016947E+15
     -0.774774774775E+00      0.266490931540E+15      0.265308832808E+15      0.264251067983E+15      0.265350277444E+15
     -0.770770770771E+00      0.257049664867E+15      0.255887480252E+15      0.254835636297E+15      0.255924260472E+15
     -0.766766766767E+00      0.247760612555E+15      0.246618800192E+15      0.245572617075E+15      0.246650676607E+15
     -0.762762762763E+00      0.238631988602E+15      0.237510551069E+15      0.236468094405E+15      0.237536878025E+15
     -0.758758758759E+00      0.229671484845E+15      0.228569730292E+15      0.227527675210E+15      0.228589630115E+15
     -0.754754754755E+00      0.220885885636E+15      0.219802309014E+15      0.218756574784E+15      0.219814923145E+15
     -0.750750750751E+00      0.212280797139E+15      0.211213093437E+15      0.210159657402E+15      0.211217849326E+15
     -0.746746746747E+00      0.203860547045E+15      0.202805739719E+15      0.201741424941E+15      0.202802570568E+15
     -0.742742742743E+00      0.195628275967E+15      0.194582921932E+15      0.193505970561E+15      0.194572389487E+15
     -0.738738738739E+00      0.187586195358E+15      0.186546617946E+15      0.185456925891E+15      0.186529913065E+15
     -0.734734734735E+00      0.179735944147E+15      0.178698447715E+15      0.177597426222E+15      0.178677272695E+15
     -0.730730730731E+00      0.172078951627E+15      0.171039983322E+15      0.169930103370E+15      0.171016346106E+15
     -0.726726726727E+00      0.164616715834E+15      0.163572956619E+15      0.162457098904E+15      0.163548923785E+15
     -0.722722722723E+00      0.157350933656E+15      0.156299317378E+15      0.155180079984E+15      0.156276777006E+15
     -0.718718718719E+00      0.150283462488E+15      0.149221134737E+15      0.148100240469E+15      0.149201612565E+15
     -0.714714714715E+00      0.143416139698E+15      0.142340375593E+15      0.141218279848E+15      0.142324931713E+15
     -0.710710710711E+00      0.136750522016E+15      0.135658623703E+15      0.134534365946E+15      0.135647837222E+15
     -0.706706706707E+00      0.130287622520E+15      0.129176814527E+15      0.128048097060E+15      0.129170844703E+15
     -0.702702702703E+00      0.124027715159E+15      0.122895051159E+15      0.121758481098E+15      0.122893749138E+15
     -0.698698698699E+00      0.117970249968E+15      0.116812540301E+15      0.115663943571E+15      0.116815577947E+15
     -0.694694694695E+00      0.112113885893E+15      0.110927652885E+15      0.109762367239E+15      0.110934635339E+15
     -0.690690690691E+00      0.106456614053E+15      0.105238082038E+15      0.104051158851E+15      0.105248618314E+15
     -0.686686686687E+00      0.100995922496E+15      0.997410503938E+14      0.985273360212E+14      0.997547696370E+14
     -0.682682682683E+00      0.957289493146E+14      0.944335138515E+14      0.931876295827E+14      0.944500309163E+14
     -0.678678678679E+00      0.906525839926E+14      0.893123194185E+14      0.880286005928E+14      0.893311680013E+14
     -0.674674674675E+00      0.857635013057E+14      0.843742958495E+14      0.830467727082E+14      0.843948566212E+14
     -0.670670670671E+00      0.810581390657E+14      0.796162799063E+14      0.782387775626E+14      0.796377321782E+14
     -0.666666666667E+00      0.765326514150E+14      0.750351004312E+14      0.736015037042E+14      0.750564185168E+14
     -0.662662662663E+00      0.721828769425E+14      0.706275515003E+14      0.691322319621E+14      0.706475534683E+14
     -0.658658658659E+00      0.680043540277E+14      0.663903829915E+14      0.648287359957E+14      0.664078243383E+14
     -0.654654654655E+00      0.639923980249E+14      0.623203244608E+14      0.606893290575E+14      0.623340171811E+14
     -0.650650650651E+00      0.601422330580E+14      0.584141416820E+14      0.567128465305E+14      0.584230737568E+14
     -0.646646646647E+00      0.564491528935E+14      0.546687107153E+14      0.528985656677E+14      0.546721430922E+14
     -0.642642642643E+00      0.529086761110E+14      0.510810864991E+14      0.492460750354E+14      0.510786125485E+14
     -0.638638638639E+00      0.495166624839E+14      0.476485434087E+14      0.457551131678E+14      0.476401063534E+14
     -0.634634634635E+00      0.462693683616E+14      0.443685727870E+14      0.424253976891E+14      0.443544462792E+14
     -0.630630630631E+00      0.431634346638E+14      0.412388339504E+14      0.392564635786E+14      0.412195773976E+14
     -0.626626626627E+00      0.401958169150E+14      0.382570668834E+14      0.362475242842E+14      0.382334693608E+14
     -0.622622622623E+00      0.373636784614E+14      0.354209835975E+14      0.333973639051E+14      0.353940086547E+14
     -0.618618618619E+00      0.346642733251E+14      0.327281591198E+14      0.307042637774E+14      0.326988987408E+14
     -0.614614614615E+00      0.320948438338E+14      0.301759419526E+14      0.281659629395E+14      0.301455829086E+14
     -0.610610610611E+00      0.296525516448E+14      0.277613985617E+14      0.257796491841E+14      0.277311997969E+14
     -0.606606606607E+00      0.273344513551E+14      0.254812987704E+14      0.235419757036E+14      0.254525752764E+14
     -0.602602602603E+00      0.251375060006E+14      0.233321408330E+14      0.214490976041E+14      0.233062481459E+14
     -0.598598598599E+00      0.230586353638E+14      0.213102081429E+14      0.194967226238E+14      0.212885220435E+14
     -0.594594594595E+00      0.210947824383E+14      0.194116450576E+14      0.176801709175E+14      0.193955328045E+14
     -0.590590590591E+00      0.192429812102E+14      0.176325375916E+14      0.159944394559E+14      0.176233194192E+14
     -0.586586586587E+00      0.175004100613E+14      0.159689855591E+14      0.144342672543E+14      0.159678876249E+14
     -0.582582582583E+00      0.158644189739E+14      0.144171555872E+14      0.129941982598E+14      0.144252576070E+14
     -0.578578578579E+00      0.143325242972E+14      0.129733085248E+14      0.116686393790E+14      0.129914907337E+14
     -0.574574574575E+00      0.129023708890E+14      0.116337993368E+14      0.104519118924E+14      0.116626940394E+14
     -0.570570570571E+00      0.115716667818E+14      0.103950518282E+14      0.933829537039E+13      0.104350046601E+14
     -0.566566566567E+00      0.103380992763E+14      0.925351390564E+13      0.832206408866E+13      0.930455909021E+13
     -0.562562562563E+00      0.919924320117E+13      0.820560120067E+13      0.739751671766E+13      0.826745370650E+13
     -0.558558558559E+00      0.815247212550E+13      0.724763770723E+13      0.655900063319E+13      0.731970348864E+13
     -0.554554554555E+00      0.719488204395E+13      0.637580176376E+13      0.580093250933E+13      0.645720543901E+13
     -0.550550550551E+00      0.632323499655E+13      0.558608451239E+13      0.511781690654E+13      0.567571213849E+13
     -0.546546546547E+00      0.553392765096E+13      0.487426614353E+13      0.450426437862E+13      0.497081939104E+13
     -0.542542542543E+00      0.482298730581E+13      0.423591301706E+13      0.395501023630E+13      0.433797018639E+13
     -0.538538538539E+00      0.418609521053E+13      0.366639635430E+13      0.346493458196E+13      0.377247538227E+13
     -0.534534534535E+00      0.361863467926E+13      0.316093085567E+13      0.302908364802E+13      0.326954972765E+13
     -0.530530530531E+00      0.311575939420E+13      0.271462957756E+13      0.264269191993E+13      0.282436029723E+13
     -0.526526526527E+00      0.267247577102E+13      0.232256994461E+13      0.230120408978E+13      0.243208326847E+13
     -0.522522522523E+00      0.228373247786E+13      0.197986504693E+13      0.200029563211E+13      0.208796438563E+13
     -0.518518518519E+00      0.194451023420E+13      0.168173441795E+13      0.173589074862E+13      0.178737846692E+13
     -0.514514514515E+00      0.164990579643E+13      0.142356921261E+13      0.150417657895E+13      0.152588386266E+13
     -0.510510510511E+00      0.139520537240E+13      0.120098790870E+13      0.130161287487E+13      0.129926871866E+13
     -0.506506506507E+00      0.117594433371E+13      0.100988008713E+13      0.112493671585E+13      0.110358704557E+13
     -0.502502502503E+00      0.987951747442E+12      0.846437270855E+12      0.971162237272E+12      0.935183751857E+12
     -0.498498498498E+00      0.827379711054E+12      0.707171033094E+12      0.837575690471E+12      0.790708811540E+12
     -0.494494494494E+00      0.690718610347E+12      0.588919514952E+12      0.721726417799E+12      0.667121514366E+12
     -0.490490490490E+00      0.574800176711E+12      0.488844085690E+12      0.621414492888E+12      0.561686251763E+12
     -0.486486486486E+00      0.476790614054E+12      0.404418161130E+12      0.534675847177E+12      0.471961540787E+12
     -0.482482482482E+00      0.394176158284E+12      0.333410225486E+12      0.459765695364E+12      0.395784026378E+12
     -0.478478478478E+00      0.324743304332E+12      0.273862953737E+12      0.395141005521E+12      0.331249087863E+12
     -0.474474474474E+00      0.266555669440E+12      0.224070076200E+12      0.339442656625E+12      0.276689467422E+12
     -0.470470470470E+00      0.217929127000E+12      0.182552324037E+12      0.291477806343E+12      0.230653085793E+12
     -0.466466466466E+00      0.177406495844E+12      0.148033487438E+12      0.250202870310E+12      0.191880951197E+12
     -0.462462462462E+00      0.143732741045E+12      0.119417335482E+12      0.214707400866E+12      0.159285825798E+12
     -0.458458458458E+00      0.115831354361E+12      0.957659034141E+11      0.184199054310E+12      0.131932104028E+12
     -0.454454454454E+00      0.927823440983E+11      0.762794548916E+11      0.157989753811E+12      0.109017184267E+12
     -0.450450450450E+00      0.738020759889E+11      0.602782728370E+11      0.135483090282E+12      0.898544797028E+11
     -0.446446446446E+00      0.582250647590E+11      0.471863185403E+11      0.116162954679E+12      0.738581126594E+11
     -0.442442442442E+00      0.454877137414E+11      0.365167182784E+11      0.995833600532E+11      0.605292640243E+11
     -0.438438438438E+00      0.351139300366E+11      0.278589835014E+11      0.853593881282E+11      0.494441005554E+11
     -0.434434434434E+00      0.267024982626E+11      0.208678383602E+11      0.731591806106E+11      0.402431724111E+11
     -0.430430430430E+00      0.199160706588E+11      0.152535116546E+11      0.626968879796E+11      0.326221567643E+11
     -0.426426426426E+00      0.144716199875E+11      0.107733447367E+11      0.537264861245E+11      0.263238169496E+11
     -0.422422422422E+00      0.101322001138E+11      0.722456898186E+10      0.460363725231E+11      0.211310472063E+11
     -0.418418418418E+00      0.669986408765E+10      0.443811345885E+10      0.394446574387E+11      0.168608783284E+11
     -0.414414414414E+00      0.400959855705E+10      0.227331339457E+10      0.337950709488E+11      0.133593276335E+11
     -0.410410410410E+00      0.192414464121E+10      0.613401487435E+09      0.289534128255E+11      0.104969863181E+11
     -0.406406406406E+00      0.329587698069E+09     -0.638323883482E+09      0.248044788626E+11      0.816524755905E+10
     -0.402402402402E+00     -0.868389080260E+09     -0.156174768603E+10      0.212494038396E+11      0.627308902444E+10
     -0.398398398398E+00     -0.174768022192E+10     -0.222268737472E+10      0.182033676988E+11      0.474433336740E+10
     -0.394394394394E+00     -0.237244428964E+10     -0.267521457331E+10      0.155936175357E+11      0.351531955758E+10
     -0.390390390390E+00     -0.279537211926E+10     -0.296361223827E+10      0.133577635808E+11      0.253292640774E+10
     -0.386386386386E+00     -0.305959870912E+10     -0.312402171157E+10      0.114423124422E+11      0.175289734049E+10
     -0.382382382382E+00     -0.320031204991E+10     -0.318582651088E+10      0.980140547389E+10      0.113842230437E+10
     -0.378378378378E+00     -0.324610473865E+10     -0.317281305594E+10      0.839573424629E+10      0.658938817232E+09
     -0.374374374374E+00     -0.322010767912E+10     -0.310414271783E+10      0.719160874530E+10      0.289119449449E+09
     -0.370370370370E+00     -0.314093947636E+10     -0.299516453585E+10      0.616015715416E+10      0.801771398510E+07
     -0.366366366366E+00     -0.302350019403E+10     -0.285809358656E+10      0.527663889902E+10     -0.201651627189E+09
     -0.362362362362E+00     -0.287963387641E+10     -0.270257623623E+10      0.451985512528E+10     -0.354118329120E+09
     -0.358358358358E+00     -0.271868057105E+10     -0.253616028664E+10      0.387164293005E+10     -0.461065975881E+09
     -0.354354354354E+00     -0.254793544027E+10     -0.236468526859E+10      0.331644155968E+10     -0.532059716393E+09
     -0.350350350350E+00     -0.237302985818E+10     -0.219260578326E+10      0.284092041343E+10     -0.574905076002E+09
     -0.346346346346E+00     -0.219824709306E+10     -0.202325878686E+10      0.243366010951E+10     -0.595948590133E+09
     -0.342342342342E+00     -0.202678321629E+10     -0.185908400811E+10      0.208487909130E+10     -0.600329377698E+09
     -0.338338338338E+00     -0.186096221543E+10     -0.170180524070E+10      0.178619930915E+10     -0.592189382330E+09
     -0.334334334334E+00     -0.170241287327E+10     -0.155257902229E+10      0.153044542393E+10     -0.574848823876E+09
     -0.330330330330E+00     -0.155221377731E+10     -0.141211617488E+10      0.131147276191E+10     -0.550952396762E+09
     -0.326326326326E+00     -0.141101180719E+10     -0.128078079783E+10      0.112401992859E+10     -0.522590892146E+09
     -0.322322322322E+00     -0.127911858647E+10     -0.115867056258E+10      0.963582569613E+09     -0.491402193146E+09
     -0.318318318318E+00     -0.115658866241E+10     -0.104568153108E+10      0.826305266203E+09     -0.458654975760E+09
     -0.314314314314E+00     -0.104328255968E+10     -0.941560188732E+09      0.708888983550E+09     -0.425317921621E+09
     -0.310310310310E+00     -0.938917338503E+09     -0.845944937169E+09      0.608511859944E+09     -0.392116805243E+09
     -0.306306306306E+00     -0.843106851651E+09     -0.758398917434E+09      0.522761440089E+09     -0.359581442999E+09
     -0.302302302302E+00     -0.755393525685E+09     -0.678435716089E+09      0.449576732291E+09     -0.328084169828E+09
     -0.298298298298E+00     -0.675273184394E+09     -0.605539243250E+09      0.387198698090E+09     -0.297871243185E+09
     -0.294294294294E+00     -0.602214171140E+09     -0.539178847302E+09      0.334127989684E+09     -0.269088342919E+09
     -0.290290290290E+00     -0.535671809116E+09     -0.478820543890E+09      0.289088918973E+09     -0.241801144678E+09
     -0.286286286286E+00     -0.475099055493E+09     -0.423935080627E+09      0.250998793211E+09     -0.216011780970E+09
     -0.282282282282E+00     -0.419954050454E+09     -0.374003427147E+09      0.218941877674E+09     -0.191671866643E+09
     -0.278278278278E+00     -0.369705134995E+09     -0.328520169704E+09      0.192147357268E+09     -0.168692649144E+09
     -0.274274274274E+00     -0.323833804358E+09     -0.286995201105E+09      0.169970758719E+09     -0.146952748915E+09
     -0.270270270270E+00     -0.281835973760E+09     -0.248954018524E+09      0.151878378410E+09     -0.126303871291E+09
     -0.266266266266E+00     -0.243221864050E+09     -0.213936885567E+09      0.137434319960E+09     -0.106574809886E+09
     -0.262262262262E+00     -0.207514755871E+09     -0.181497065852E+09      0.126289804687E+09     -0.875740056786E+08
     -0.258258258258E+00     -0.174248822959E+09     -0.151198307556E+09      0.118174448562E+09     -0.690908939845E+08
     -0.254254254254E+00     -0.142966230203E+09     -0.122611742248E+09      0.112889225058E+09     -0.508962491311E+08
     -0.250250250250E+00     -0.113213681448E+09     -0.953123711388E+08      0.110300828376E+09     -0.327417414037E+08
     -0.246246246246E+00     -0.845386303185E+08     -0.688753503682E+08      0.110337121166E+09     -0.143589531736E+08
     -0.242242242242E+00     -0.564854329334E+08     -0.428723672908E+08      0.112983274666E+09      0.454182481377E+07
     -0.238238238238E+00     -0.285918513787E+08     -0.168685465863E+08      0.118278072134E+09      0.242725580564E+08
     -0.234234234234E+00     -0.386526672066E+06      0.957944176950E+07      0.126309615883E+09      0.451675103267E+08
     -0.230230230230E+00      0.286116216899E+08      0.369230318451E+08      0.137209325222E+09      0.675813262524E+08
     -0.226226226226E+00      0.588906100843E+08      0.656175899659E+08      0.151142585187E+09      0.918835950791E+08
     -0.222222222222E+00      0.909370351187E+08      0.961120824758E+08      0.168293680513E+09      0.118447599369E+09
     -0.218218218218E+00      0.125219004211E+09      0.128829267986E+09      0.188841728087E+09      0.147630000095E+09
     -0.214214214214E+00      0.162156056090E+09      0.164131991522E+09      0.212923327640E+09      0.179737125084E+09
     -0.210210210210E+00      0.202070692800E+09      0.202270273069E+09      0.240576972888E+09      0.214972646252E+09
     -0.206206206206E+00      0.245115771908E+09      0.243304008822E+09      0.271664749792E+09      0.253361510174E+09
     -0.202202202202E+00      0.291173643300E+09      0.286998751308E+09      0.305770064154E+09      0.294647486254E+09
     -0.198198198198E+00      0.339728709059E+09      0.332699513931E+09      0.342078352173E+09      0.338168858388E+09
     -0.194194194194E+00      0.389727639013E+09      0.379202257331E+09      0.379263048922E+09      0.382730981755E+09
     -0.190190190190E+00      0.439462156198E+09      0.424664831237E+09      0.415420830612E+09      0.426515939349E+09
     -0.186186186186E+00      0.486534309741E+09      0.466622076257E+09      0.448120183194E+09      0.467092189731E+09
     -0.182182182182E+00      0.527979691887E+09      0.502176005369E+09      0.474626624070E+09      0.501594107109E+09
     -0.178178178178E+00      0.560606312524E+09      0.528396830190E+09      0.492322678270E+09      0.527108606995E+09
     -0.174174174174E+00      0.581536013460E+09      0.542882809648E+09      0.499246356494E+09      0.541221726534E+09
     -0.170170170170E+00      0.588824012170E+09      0.544318107199E+09      0.494571360328E+09      0.542571159899E+09
     -0.166166166166E+00      0.581942818676E+09      0.532814291583E+09      0.478826954115E+09      0.531194688125E+09
     -0.162162162162E+00      0.561929165383E+09      0.509886644778E+09      0.453754387645E+09      0.508523399269E+09
     -0.158158158158E+00      0.531127853597E+09      0.478078294035E+09      0.421867824815E+09      0.477024657482E+09
     -0.154154154154E+00      0.492646120830E+09      0.440396776941E+09      0.385910722206E+09      0.439651206659E+09
     -0.150150150150E+00      0.449737654894E+09      0.399773211503E+09      0.348399265879E+09      0.399303377425E+09
     -0.146146146146E+00      0.405312948442E+09      0.358689222369E+09      0.311353171734E+09      0.358451780848E+09
     -0.142142142142E+00      0.361667416202E+09      0.319010210313E+09      0.276212849349E+09      0.318963491955E+09
     -0.138138138138E+00      0.320413765770E+09      0.281984061686E+09      0.243885021222E+09      0.282094282893E+09
     -0.134134134134E+00      0.282550184369E+09      0.248335616795E+09      0.214850266419E+09      0.248578689195E+09
     -0.130130130130E+00      0.248590886817E+09      0.218395664764E+09      0.189283437182E+09      0.218756662921E+09
     -0.126126126126E+00      0.218706364912E+09      0.192225745581E+09      0.167160317663E+09      0.192697476052E+09
     -0.122122122122E+00      0.192845457996E+09      0.169720947958E+09      0.148340859857E+09      0.170302421937E+09
     -0.118118118118E+00      0.170829701182E+09      0.150686589859E+09      0.132628956428E+09      0.151381749156E+09
     -0.114114114114E+00      0.152420653244E+09      0.134891543646E+09      0.119812813257E+09      0.135708336716E+09
     -0.110110110110E+00      0.137365152099E+09      0.122103344873E+09      0.109690900263E+09      0.123053132411E+09
     -0.106106106106E+00      0.125424280725E+09      0.112110264191E+09      0.102087942259E+09      0.113207495725E+09
     -0.102102102102E+00      0.116391144161E+09      0.104734642284E+09      0.968644388517E+08      0.105996741766E+09
     -0.980980980981E-01      0.110101413913E+09      0.998407148102E+08      0.939222448993E+08      0.101288124541E+09
     -0.940940940941E-01      0.106439503057E+09      0.973392177521E+08      0.932079703809E+08      0.989955637300E+08
     -0.900900900901E-01      0.105342351617E+09      0.971903360103E+08      0.947153816358E+08      0.990826897545E+08
     -0.860860860861E-01      0.106802158576E+09      0.994060460495E+08      0.984875989659E+08      0.101565267864E+09
     -0.820820820821E-01      0.110868953337E+09      0.104052554527E+09      0.104619621678E+09      0.106513709847E+09
     -0.780780780781E-01      0.117653610881E+09      0.111253313127E+09      0.113261552568E+09      0.114056158859E+09
     -0.740740740741E-01      0.127331735995E+09      0.121192956169E+09      0.124622800219E+09      0.124382497461E+09
     -0.700700700701E-01      0.140148734619E+09      0.134122429113E+09      0.138977484484E+09      0.137749549406E+09
     -0.660660660661E-01      0.156426342493E+09      0.150365547055E+09      0.156671258421E+09      0.154487715990E+09
     -0.620620620621E-01      0.176570860638E+09      0.170327211771E+09      0.178129759681E+09      0.175009277363E+09
     -0.580580580581E-01      0.201083358647E+09      0.194503535187E+09      0.203868927979E+09      0.199818607271E+09
     -0.540540540541E-01      0.230572130715E+09      0.223494143061E+09      0.234507454595E+09      0.229524576124E+09
     -0.500500500501E-01      0.265767731076E+09      0.258016977030E+09      0.270781676810E+09      0.264855461638E+09
     -0.460460460460E-01      0.307540970903E+09      0.298925967319E+09      0.313563280798E+09      0.306676739673E+09
     -0.420420420420E-01      0.356924322979E+09      0.347232013141E+09      0.363880242640E+09      0.356012192920E+09
     -0.380380380380E-01      0.415137260309E+09      0.404127784262E+09      0.422941510528E+09      0.414068851700E+09
     -0.340340340340E-01      0.483616147497E+09      0.471016949514E+09      0.492166021383E+09      0.482266372798E+09
     -0.300300300300E-01      0.564049410613E+09      0.549548540564E+09      0.573216744406E+09      0.562271565195E+09
     -0.260260260260E-01      0.658418839087E+09      0.641657284850E+09      0.668040566444E+09      0.656038896794E+09
     -0.220220220220E-01      0.769048015873E+09      0.749610880201E+09      0.778914967202E+09      0.765857954425E+09
     -0.180180180180E-01      0.898659045863E+09      0.876065352974E+09      0.908502596903E+09      0.894408998580E+09
     -0.140140140140E-01      0.105043894466E+10      0.102412982790E+10      0.105991505173E+10      0.104482794143E+10
     -0.100100100100E-01      0.122811728130E+10      0.119744226502E+10      0.123678735828E+10      0.122078230153E+10
     -0.600600600601E-02      0.143605693195E+10      0.140025797375E+10      0.144336492821E+10      0.142655994464E+10
     -0.200200200200E-02      0.167936010562E+10      0.163755301163E+10      0.168460503249E+10      0.166717271658E+10
      0.200200200200E-02      0.196399216161E+10      0.191514492396E+10      0.196629518012E+10      0.194847742190E+10
      0.600600600601E-02      0.229692614364E+10      0.223983367554E+10      0.229519117117E+10      0.227731699678E+10
      0.100100100100E-01      0.268631143033E+10      0.261956608751E+10      0.267917804233E+10      0.266168518672E+10
      0.140140140140E-01      0.314167044371E+10      0.306362762115E+10      0.312745763270E+10      0.311091856586E+10
      0.180180180180E-01      0.367412798463E+10      0.358286595960E+10      0.365076709230E+10      0.363592034551E+10
      0.220220220220E-01      0.429667847458E+10      0.418995153090E+10      0.426163332667E+10      0.424942111071E+10
      0.260260260260E-01      0.502449720294E+10      0.489968091340E+10      0.497466914696E+10      0.496628242110E+10
      0.300300300300E-01      0.587530260215E+10      0.572932996113E+10      0.580691776712E+10      0.580385011013E+10
      0.340340340340E-01      0.686977762012E+10      0.669906450657E+10      0.677825328454E+10      0.678236513708E+10
      0.380380380380E-01      0.803205943333E+10      0.783241763638E+10      0.791184589364E+10      0.792544098779E+10
      0.420420420420E-01      0.939030804877E+10      0.915684380401E+10      0.923470182230E+10      0.926061789169E+10
      0.460460460460E-01      0.109773657809E+11      0.107043614369E+11      0.107782893532E+11      0.108200055237E+11
      0.500500500501E-01      0.128315211500E+11      0.125122972071E+11      0.125792637827E+11      0.126410273799E+11
      0.540540540541E-01      0.149973924132E+11      0.146241467444E+11      0.146803057690E+11      0.147672816422E+11
      0.580580580581E-01      0.175269476715E+11      0.170905682425E+11      0.171310891929E+11      0.172495350357E+11
      0.620620620621E-01      0.204806802320E+11      0.199705270780E+11      0.199893963461E+11      0.201468678854E+11
      0.660660660661E-01      0.239289595590E+11      0.233326111463E+11      0.233223998891E+11      0.235279901981E+11
      0.700700700701E-01      0.279535795757E+11      0.272565379713E+11      0.272081324624E+11      0.274727500032E+11
      0.740740740741E-01      0.326495270820E+11      0.318348755779E+11      0.317371658986E+11      0.320738561862E+11
      0.780780780781E-01      0.381269933611E+11      0.371749993562E+11      0.370145224247E+11      0.374388383807E+11
      0.820820820821E-01      0.445136512784E+11      0.434013063194E+11      0.431618396976E+11      0.436922657651E+11
      0.860860860861E-01      0.519572178063E+11      0.506577057675E+11      0.503198095092E+11      0.509782443610E+11
      0.900900900901E-01      0.606283172929E+11      0.591104007658E+11      0.586509058772E+11      0.594632079786E+11
      0.940940940941E-01      0.707236530437E+11      0.689509671947E+11      0.683424111916E+11      0.693390104767E+11
      0.980980980981E-01      0.824694828379E+11      0.803997253871E+11      0.796097380285E+11      0.808263154178E+11
      0.102102102102E+00      0.961253765378E+11      0.937093822870E+11      0.927000278846E+11      0.941782622365E+11
      0.106106106106E+00      0.111988209448E+12      0.109168898201E+12      0.107895984840E+12      0.109684364163E+12
      0.110110110110E+00      0.130396311873E+12      0.127107500004E+12      0.125519870261E+12      0.127674560713E+12
      0.114114114114E+00      0.151733651732E+12      0.147898720602E+12      0.145937542195E+12      0.148523304843E+12
