  #energy          xx             yy              zz              xy              yz              zx
  0.15936000E+01  0.30946604E+01  0.30946604E+01  0.30946604E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16073000E+01  0.30906217E+01  0.30906217E+01  0.30906217E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16211000E+01  0.30886363E+01  0.30886363E+01  0.30886363E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16348000E+01  0.30886145E+01  0.30886145E+01  0.30886145E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16486000E+01  0.30903778E+01  0.30903778E+01  0.30903778E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16623000E+01  0.30936307E+01  0.30936307E+01  0.30936307E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16761000E+01  0.30981704E+01  0.30981704E+01  0.30981704E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16898000E+01  0.31036619E+01  0.31036619E+01  0.31036619E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17035000E+01  0.31099472E+01  0.31099472E+01  0.31099472E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17173000E+01  0.31169272E+01  0.31169272E+01  0.31169272E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17310000E+01  0.31243364E+01  0.31243364E+01  0.31243364E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17448000E+01  0.31321812E+01  0.31321812E+01  0.31321812E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17585000E+01  0.31402555E+01  0.31402555E+01  0.31402555E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17723000E+01  0.31486299E+01  0.31486299E+01  0.31486299E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17860000E+01  0.31571323E+01  0.31571323E+01  0.31571323E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17998000E+01  0.31658703E+01  0.31658703E+01  0.31658703E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18135000E+01  0.31746898E+01  0.31746898E+01  0.31746898E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18273000E+01  0.31837212E+01  0.31837212E+01  0.31837212E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
