#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 364  36
# Band-Index    1
   1.97823    -16.807226     0.000
   1.98836    -16.782797     0.000
   1.99848    -16.757820     0.000
   2.00860    -16.732297     0.000
   2.01872    -16.706225     0.000
   2.02885    -16.679608     0.000
   2.03897    -16.652447     0.000
   2.04909    -16.624740     0.000
   2.05922    -16.596491     0.000
   2.06934    -16.567700     0.000
   2.07946    -16.538369     0.000
   2.08959    -16.508500     0.000
   2.09971    -16.478094     0.000
   2.10983    -16.447151     0.000
   2.11995    -16.415673     0.000
   2.13008    -16.383667     0.000
   2.14020    -16.351129     0.000
   2.15032    -16.318057     0.000
   2.16045    -16.284457     0.000
   2.17057    -16.250331     0.000
   2.18069    -16.215681     0.000
   2.19081    -16.180508     0.000
   2.20094    -16.144816     0.000
   2.21106    -16.108604     0.000
   2.22118    -16.071877     0.000
   2.23131    -16.034640     0.000
   2.24143    -15.996890     0.000
   2.25155    -15.958630     0.000
   2.26168    -15.919865     0.000
   2.27180    -15.880594     0.000
   2.28192    -15.840830     0.000
   2.29204    -15.800564     0.000
   2.30217    -15.759804     0.000
   2.31229    -15.718557     0.000
   2.32241    -15.676818     0.000
   2.33254    -15.634598     0.000
   2.34266    -15.591905     0.000
   2.35278    -15.548735     0.000
   2.36290    -15.505093     0.000
   2.37303    -15.460988     0.000
   2.38315    -15.416423     0.000
   2.39327    -15.371401     0.000
   2.40340    -15.325936     0.000
   2.41352    -15.280028     0.000
   2.42364    -15.233691     0.000
   2.43377    -15.186919     0.000
   2.44389    -15.139728     0.000
   2.45401    -15.092125     0.000
   2.46413    -15.044123     0.000
   2.47426    -14.995721     0.000
   2.48438    -14.946940     0.000
   2.49450    -14.897788     0.000
   2.50463    -14.848278     0.000
   2.51475    -14.798419     0.000
   2.52487    -14.748232     0.000
   2.53500    -14.697732     0.000
   2.54512    -14.646932     0.000
   2.55524    -14.595859     0.000
   2.56536    -14.544530     0.000
   2.57549    -14.492962     0.000
   2.58561    -14.441212     0.000
   2.59573    -14.389262     0.000
   2.60586    -14.337168     0.000
   2.61598    -14.284970     0.000
   2.62610    -14.232694     0.000
   2.63622    -14.180400     0.000
   2.64635    -14.128141     0.000
   2.65647    -14.075958     0.000
   2.66659    -14.023922     0.000
   2.67672    -13.972127     0.000
   2.68684    -13.920646     0.000
   2.69696    -13.869568     0.000
   2.70709    -13.819021     0.000
