   #Energy      xx(%)           yy(%)
   2.762      0.9609E+02      0.9609E+02
   2.780      0.9606E+02      0.9606E+02
   2.799      0.9603E+02      0.9603E+02
   2.817      0.9600E+02      0.9600E+02
   2.835      0.9597E+02      0.9597E+02
   2.853      0.9593E+02      0.9593E+02
   2.872      0.9590E+02      0.9590E+02
   2.890      0.9587E+02      0.9587E+02
   2.908      0.9583E+02      0.9583E+02
   2.926      0.9580E+02      0.9580E+02
   2.945      0.9576E+02      0.9576E+02
   2.963      0.9572E+02      0.9572E+02
   2.981      0.9568E+02      0.9568E+02
   3.000      0.9565E+02      0.9565E+02
   3.018      0.9561E+02      0.9561E+02
   3.036      0.9556E+02      0.9556E+02
   3.054      0.9552E+02      0.9552E+02
   3.073      0.9548E+02      0.9548E+02
   3.091      0.9543E+02      0.9543E+02
   3.109      0.9539E+02      0.9539E+02
   3.128      0.9534E+02      0.9534E+02
   3.146      0.9529E+02      0.9529E+02
   3.164      0.9525E+02      0.9525E+02
   3.183      0.9519E+02      0.9519E+02
   3.201      0.9514E+02      0.9514E+02
   3.219      0.9509E+02      0.9509E+02
   3.237      0.9504E+02      0.9504E+02
   3.256      0.9498E+02      0.9498E+02
   3.274      0.9492E+02      0.9492E+02
   3.292      0.9486E+02      0.9486E+02
   3.311      0.9480E+02      0.9480E+02
   3.329      0.9474E+02      0.9474E+02
   3.347      0.9467E+02      0.9467E+02
   3.365      0.9460E+02      0.9460E+02
   3.384      0.9453E+02      0.9453E+02
   3.402      0.9446E+02      0.9446E+02
   3.420      0.9439E+02      0.9439E+02
   3.439      0.9431E+02      0.9431E+02
   3.457      0.9423E+02      0.9423E+02
   3.475      0.9415E+02      0.9415E+02
   3.494      0.9406E+02      0.9406E+02
   3.512      0.9397E+02      0.9397E+02
   3.530      0.9388E+02      0.9388E+02
   3.548      0.9378E+02      0.9378E+02
   3.567      0.9368E+02      0.9368E+02
   3.585      0.9358E+02      0.9358E+02
   3.603      0.9347E+02      0.9347E+02
   3.622      0.9336E+02      0.9336E+02
   3.640      0.9324E+02      0.9324E+02
   3.658      0.9312E+02      0.9312E+02
