   #Energy      xx              yy   
   1.591     -0.5431E+00     -0.5431E+00     -0.1408E+00
   1.610     -0.5486E+00     -0.5486E+00     -0.1424E+00
   1.628     -0.5542E+00     -0.5542E+00     -0.1441E+00
   1.646     -0.5598E+00     -0.5598E+00     -0.1457E+00
   1.665     -0.5654E+00     -0.5654E+00     -0.1474E+00
   1.683     -0.5710E+00     -0.5710E+00     -0.1490E+00
   1.701     -0.5767E+00     -0.5767E+00     -0.1506E+00
   1.719     -0.5824E+00     -0.5824E+00     -0.1523E+00
   1.738     -0.5880E+00     -0.5880E+00     -0.1539E+00
   1.756     -0.5936E+00     -0.5936E+00     -0.1556E+00
   1.774     -0.5993E+00     -0.5993E+00     -0.1572E+00
   1.792     -0.6049E+00     -0.6049E+00     -0.1589E+00
   1.811     -0.6106E+00     -0.6106E+00     -0.1605E+00
   1.829     -0.6163E+00     -0.6163E+00     -0.1622E+00
   1.847     -0.6221E+00     -0.6221E+00     -0.1638E+00
   1.866     -0.6279E+00     -0.6279E+00     -0.1655E+00
   1.884     -0.6338E+00     -0.6338E+00     -0.1671E+00
   1.902     -0.6397E+00     -0.6397E+00     -0.1688E+00
   1.921     -0.6457E+00     -0.6457E+00     -0.1704E+00
   1.939     -0.6516E+00     -0.6516E+00     -0.1721E+00
   1.957     -0.6576E+00     -0.6576E+00     -0.1738E+00
   1.975     -0.6635E+00     -0.6635E+00     -0.1754E+00
   1.994     -0.6695E+00     -0.6695E+00     -0.1771E+00
   2.012     -0.6755E+00     -0.6755E+00     -0.1788E+00
   2.030     -0.6814E+00     -0.6814E+00     -0.1804E+00
   2.049     -0.6874E+00     -0.6874E+00     -0.1821E+00
   2.067     -0.6933E+00     -0.6933E+00     -0.1838E+00
   2.085     -0.6993E+00     -0.6993E+00     -0.1854E+00
   2.103     -0.7054E+00     -0.7054E+00     -0.1871E+00
   2.122     -0.7115E+00     -0.7115E+00     -0.1888E+00
   2.140     -0.7176E+00     -0.7176E+00     -0.1905E+00
   2.158     -0.7238E+00     -0.7238E+00     -0.1921E+00
   2.177     -0.7300E+00     -0.7300E+00     -0.1938E+00
   2.195     -0.7362E+00     -0.7362E+00     -0.1955E+00
   2.213     -0.7424E+00     -0.7424E+00     -0.1972E+00
   2.232     -0.7486E+00     -0.7486E+00     -0.1989E+00
   2.250     -0.7548E+00     -0.7548E+00     -0.2005E+00
   2.268     -0.7609E+00     -0.7609E+00     -0.2022E+00
   2.286     -0.7671E+00     -0.7671E+00     -0.2039E+00
   2.305     -0.7731E+00     -0.7731E+00     -0.2056E+00
   2.323     -0.7792E+00     -0.7792E+00     -0.2073E+00
   2.341     -0.7853E+00     -0.7853E+00     -0.2090E+00
   2.360     -0.7914E+00     -0.7914E+00     -0.2107E+00
   2.378     -0.7976E+00     -0.7976E+00     -0.2124E+00
   2.396     -0.8037E+00     -0.8037E+00     -0.2141E+00
   2.414     -0.8099E+00     -0.8099E+00     -0.2158E+00
   2.433     -0.8162E+00     -0.8162E+00     -0.2175E+00
   2.451     -0.8225E+00     -0.8225E+00     -0.2192E+00
   2.469     -0.8288E+00     -0.8288E+00     -0.2209E+00
   2.487     -0.8350E+00     -0.8350E+00     -0.2226E+00
   2.506     -0.8413E+00     -0.8413E+00     -0.2243E+00
   2.524     -0.8476E+00     -0.8476E+00     -0.2260E+00
   2.542     -0.8538E+00     -0.8538E+00     -0.2277E+00
   2.561     -0.8600E+00     -0.8600E+00     -0.2294E+00
   2.579     -0.8662E+00     -0.8662E+00     -0.2311E+00
   2.597     -0.8723E+00     -0.8723E+00     -0.2328E+00
   2.616     -0.8785E+00     -0.8785E+00     -0.2346E+00
   2.634     -0.8845E+00     -0.8845E+00     -0.2363E+00
   2.652     -0.8907E+00     -0.8907E+00     -0.2380E+00
   2.670     -0.8969E+00     -0.8969E+00     -0.2397E+00
   2.689     -0.9031E+00     -0.9031E+00     -0.2415E+00
   2.707     -0.9094E+00     -0.9094E+00     -0.2432E+00
   2.725     -0.9157E+00     -0.9157E+00     -0.2449E+00
   2.744     -0.9221E+00     -0.9221E+00     -0.2466E+00
   2.762     -0.9284E+00     -0.9284E+00     -0.2484E+00
   2.780     -0.9347E+00     -0.9347E+00     -0.2501E+00
   2.799     -0.9409E+00     -0.9409E+00     -0.2519E+00
   2.817     -0.9471E+00     -0.9471E+00     -0.2536E+00
   2.835     -0.9532E+00     -0.9532E+00     -0.2553E+00
   2.853     -0.9593E+00     -0.9593E+00     -0.2571E+00
   2.872     -0.9653E+00     -0.9653E+00     -0.2588E+00
   2.890     -0.9712E+00     -0.9712E+00     -0.2606E+00
   2.908     -0.9771E+00     -0.9771E+00     -0.2623E+00
   2.926     -0.9831E+00     -0.9831E+00     -0.2641E+00
   2.945     -0.9890E+00     -0.9890E+00     -0.2658E+00
   2.963     -0.9950E+00     -0.9950E+00     -0.2676E+00
   2.981     -0.1001E+01     -0.1001E+01     -0.2693E+00
   3.000     -0.1007E+01     -0.1007E+01     -0.2711E+00
   3.018     -0.1013E+01     -0.1013E+01     -0.2729E+00
   3.036     -0.1019E+01     -0.1019E+01     -0.2746E+00
   3.054     -0.1024E+01     -0.1024E+01     -0.2764E+00
   3.073     -0.1030E+01     -0.1030E+01     -0.2782E+00
   3.091     -0.1036E+01     -0.1036E+01     -0.2799E+00
   3.109     -0.1041E+01     -0.1041E+01     -0.2817E+00
   3.128     -0.1046E+01     -0.1046E+01     -0.2835E+00
   3.146     -0.1051E+01     -0.1051E+01     -0.2852E+00
   3.164     -0.1056E+01     -0.1056E+01     -0.2870E+00
   3.183     -0.1061E+01     -0.1061E+01     -0.2888E+00
   3.201     -0.1066E+01     -0.1066E+01     -0.2906E+00
   3.219     -0.1070E+01     -0.1070E+01     -0.2924E+00
   3.237     -0.1075E+01     -0.1075E+01     -0.2942E+00
   3.256     -0.1079E+01     -0.1079E+01     -0.2960E+00
   3.274     -0.1083E+01     -0.1083E+01     -0.2977E+00
   3.292     -0.1087E+01     -0.1087E+01     -0.2995E+00
   3.311     -0.1091E+01     -0.1091E+01     -0.3013E+00
   3.329     -0.1094E+01     -0.1094E+01     -0.3031E+00
